正體字形,簡化字形,音序,臺／陸特有詞,臺／陸特有音,臺灣音讀,臺灣漢拼,大陸音讀,大陸漢拼
優異,优异,,,,,,ㄧㄡ ㄧˋ,yōuyì
優游,优游,,,,,,ㄧㄡ ㄧㄡˊ,yōuyóu
優遊涵泳,优游涵泳,,,,,,ㄧㄡ ㄧㄡˊ ㄏㄢˊ ㄩㄥˇ,yōuyóu–hányǒnɡ
優游自在,优游自在,,,,,,丨ㄡ　丨ㄡˊ　ㄗˋ　ㄗㄞˋ,yōuyóu-zìzài
優遇,优遇,,,,,,丨ㄡ　ㄩˋ,yōuyù
優裕,优裕,,,,,,ㄧㄡ ㄩˋ,yōuyù
優越,优越,,,,,,ㄧㄡ ㄩㄝˋ,yōuyuè
優越感,优越感,,,,,,ㄧㄡ ㄩㄝˋ ㄍㄢˇ,yōuyuèɡǎn
優哉游哉,优哉游哉,,,,,,丨ㄡ　ㄗㄞ　丨ㄡˊ　ㄗㄞ,yōuzāiyóuzāi
優質,优质,,,,ㄧㄡ ㄓˊ,yōuzhí,ㄧㄡ ㄓˋ,yōuzhì
,攸,,,,,,ㄧㄡ,yōu
憂,忧,,,,,,ㄧㄡ,yōu
憂愁,忧愁,,,,,,丨ㄡ　ㄔㄡˊ,yōuchóu
憂憤,忧愤,,,,,,丨ㄡ　ㄈㄣˋ,yōufèn
憂國,忧国,,,,,,丨ㄡ　ㄍㄨㄛˊ,yōuɡuó
憂國憂民,忧国忧民,,,,,,丨ㄡ　ㄍㄨㄛˊ　丨ㄡ　ㄇ丨ㄣˊ,yōuɡuó-yōumín
憂患,忧患,,,,,,ㄧㄡ ㄏㄨㄢˋ,yōuhuàn
憂患意識,忧患意识,,,,ㄧㄡ ㄏㄨㄢˋ ㄧˋ ㄕˋ,yōuhuàn yìshì,ㄧㄡ ㄏㄨㄢˋ ㄧˋ ㄕˊ,yōuhuàn yìshí
憂懼,忧惧,,,,,,丨ㄡ　ㄐㄩˋ,yōujù
憂慮,忧虑,,,,,,丨ㄡ　ㄌㄩˋ,yōulǜ
憂戚,忧戚,,,,,,丨ㄡ　ㄑ丨,yōuqī
憂傷,忧伤,,,,,,丨ㄡ　ㄕㄤ,yōushānɡ
憂心,忧心,,,,,,ㄧㄡ ㄒㄧㄣ,yōuxīn
憂心忡忡,忧心忡忡,,,,,,ㄧㄡ ㄒㄧㄣ ㄔㄨㄥ ㄔㄨㄥ,yōuxīn–chōnɡchōnɡ
憂心如焚,忧心如焚,,,,,,ㄧㄡ ㄒㄧㄣ ㄖㄨˊ ㄈㄣˊ,yōuxīn–rúfén
憂鬱,忧郁,,,,,,ㄧㄡ ㄩˋ,yōuyù
憂鬱症,忧郁症,,,,,,ㄧㄡ ㄩˋ ㄓㄥˋ,yōuyùzhènɡ
,呦,,,,,,ㄧㄡ,yōu
,呦呦,,,,,,ㄧㄡ ㄧㄡ,yōuyōu
,怮,,,,,,丨ㄡ,yōu
,幽,,,,,,ㄧㄡ,yōu
,幽暗,,,,,,丨ㄡ　ㄢˋ,yōu’àn
,幽浮,,▲,,,,ㄧㄡ ㄈㄨˊ,yōufú
,幽谷,,,,,,ㄧㄡ ㄍㄨˇ,yōuɡǔ
幽會,幽会,,,,,,ㄧㄡ ㄏㄨㄟˋ,yōuhuì
幽婚,幽婚,,,,,,丨ㄡ　ㄏㄨㄣ,yōuhūn
幽魂,幽魂,,,,,,ㄧㄡ ㄏㄨㄣˊ,yōuhún
幽禁,幽禁,,,,,,ㄧㄡ ㄐㄧㄣˋ,yōujìn
幽靜,幽静,,,,,,ㄧㄡ ㄐㄧㄥˋ,yōujìnɡ
,幽居,,,,,,ㄧㄡ ㄐㄩ,yōujū
幽蘭,幽兰,,,,,,ㄧㄡ ㄌㄢˊ,yōulán
幽靈,幽灵,,,,,,ㄧㄡ ㄌㄧㄥˊ,yōulínɡ
幽靈人口,幽灵人口,,▲,,,,ㄧㄡ ㄌㄧㄥˊ ㄖㄣˊ ㄎㄡˇ,yōulínɡ rénkǒu
幽美,幽美,,,,,,ㄧㄡ ㄇㄟˇ,yōuměi
幽門,幽门,,,,,,ㄧㄡ ㄇㄣˊ,yōumén
,幽冥,,,,,,ㄧㄡ ㄇㄧㄥˊ,yōumínɡ
幽默,幽默,,,,,,ㄧㄡ ㄇㄛˋ,yōumò
幽默感,幽默感,,,,,,ㄧㄡ ㄇㄛˋ ㄍㄢˇ,yōumòɡǎn
幽情,幽情,,,,,,ㄧㄡ ㄑㄧㄥˊ,yōuqínɡ
幽深,幽深,,,,,,ㄧㄡ ㄕㄣ,yōushēn
幽香,幽香,,,,,,丨ㄡ　ㄒ丨ㄤ,yōuxiānɡ
,幽雅,,,,,,ㄧㄡ ㄧㄚˇ,yōuyǎ
,幽怨,,,,,,ㄧㄡ ㄩㄢˋ,yōuyuàn
,悠,,,,,,ㄧㄡ,yōu
悠長,悠长,,,,,,丨ㄡ　ㄔㄤˊ,yōuchánɡ
悠久,悠久,,,,,,丨ㄡ　ㄐ丨ㄡˇ,yōujiǔ
悠然,悠然,,,,,,ㄧㄡ ㄖㄢˊ,yōurán
悠閒,悠闲,,,,,,丨ㄡ　ㄒ丨ㄢˊ,yōuxián
悠閒自在,悠闲自在,,,,,,ㄧㄡ ㄒㄧㄢˊ ㄗˋ ㄗㄞˋ,yōuxián–zìzài
悠揚,悠扬,,,,,,ㄧㄡ ㄧㄤˊ,yōuyánɡ
,悠悠,,,,,,ㄧㄡ ㄧㄡ,yōuyōu
悠悠球,悠悠球,,,,,,丨ㄡ　丨ㄡ　ㄑ丨ㄡˊ,yōuyōuqiú
悠遠,悠远,,,,,,丨ㄡ　ㄩㄢˇ,yōuyuǎn
悠哉,悠哉,,,,,,丨ㄡ　ㄗㄞ,yōuzāi
,嚘,,,,,,丨ㄡ,yōu
嚘咿,嚘咿,,,,,,丨ㄡ　丨,yōuyī
嚘嚶,嚘嘤,,,,,,丨ㄡ　丨ㄥ,yōuyīnɡ
,瀀,,,,,,丨ㄡ,yōu
櫌,耰,,,,,,丨ㄡ,yōu
耰,耰,,,,,,ㄧㄡ,yōu
,尤,,,,,,ㄧㄡˊ,yóu
,尤其,,,,,,ㄧㄡˊ ㄑㄧˊ,yóuqí
尤甚,尤甚,,,,,,ㄧㄡˊ ㄕㄣˋ,yóushèn
,尤物,,,,,,ㄧㄡˊ ㄨˋ,yóuwù
,冘,2.,,,,,丨ㄡˊ,yóu
冘豫,冘豫,,,,,,丨ㄡˊ　ㄩˋ,yóuyù
,由,,,,,,ㄧㄡˊ,yóu
由表及里,由表及里,,,,,,ㄧㄡˊ ㄅㄧㄠˇ ㄐㄧˊ ㄌㄧˇ,yóubiǎo-jílǐ
,由不得,,,,,,ㄧㄡˊ ˙ㄅㄨ ˙ㄉㄜ,yóubude
由此,由此,,,,,,ㄧㄡˊ ㄘˇ,yóucǐ
由此及彼,由此及彼,,,,,,ㄧㄡˊ ㄘˇ ㄐㄧˊ ㄅㄧˇ,yóucǐ-jíbǐ
由此看来,由此看来,,,,,,ㄧㄡˊ ㄘˇ ㄎㄢˋ ㄌㄞˊ,yóucǐ-kànlái
由此可見,由此可见,,,,,,ㄧㄡˊ ㄘˇ ㄎㄜˇ ㄐㄧㄢˋ,yóucǐ-kějiàn
由得,由得,,,,,,ㄧㄡˊ ˙ㄉㄜ,yóude
由來,由来,,,,,,ㄧㄡˊ ㄌㄞˊ,yóulái
由来已久,由来已久,,,,,,ㄧㄡˊ ㄌㄞˊ ㄧˇ ㄐㄧㄡˇ,yóulái-yǐjiǔ
由浅入深,由浅入深,,,,,,ㄧㄡˊ ㄑㄧㄢˇ ㄖㄨˋ ㄕㄣ,yóuqiǎn-rùshēn
由头,由头,,,,,,ㄧㄡˊ ˙ㄊㄡ,yóutou
由於,由于,,,,,,ㄧㄡˊ ㄩˊ,yóuyú
,由衷,,,,,,ㄧㄡˊ ㄓㄨㄥ,yóuzhōnɡ
由衷之言,由衷之言,,,,,,ㄧㄡˊ ㄓㄨㄥ ㄓ ㄧㄢˊ,yóuzhōnɡzhīyán
郵,邮,,,,,,ㄧㄡˊ,yóu
郵包,邮包,,,,,,ㄧㄡˊ ㄅㄠ,yóubāo
郵編,邮编,,★,,,,ㄧㄡˊ ㄅㄧㄢ,yóubiān
邮册,邮册,,,,,,ㄧㄡˊ ㄘㄜˋ,yóucè
郵差,邮差,,,,,,ㄧㄡˊ ㄔㄞ,yóuchāi
郵車,邮车,,,,,,ㄧㄡˊ ㄔㄜ,yóuchē
邮程,邮程,,,,,,ㄧㄡˊ ㄔㄥˊ,yóuchénɡ
郵船,邮船,,,,,,ㄧㄡˊ ㄔㄨㄢˊ,yóuchuán
郵戳,邮戳,,,,,,ㄧㄡˊ ㄔㄨㄛ,yóuchuō
郵遞,邮递,,,,,,ㄧㄡˊ ㄉㄧˋ,yóudì
郵遞區號,邮递区号,,▲,,,,ㄧㄡˊ ㄉㄧˋ ㄑㄩ ㄏㄠˋ,yóudì qūhào
郵遞員,邮递员,,★,,,,ㄧㄡˊ ㄉㄧˋ ㄩㄢˊ,yóudìyuán
郵電,邮电,,,,,,ㄧㄡˊ ㄉㄧㄢˋ,yóudiàn
郵電局,邮电局,,,,,,ㄧㄡˊ ㄉㄧㄢˋ ㄐㄩˊ,yóudiànjú
郵費,邮费,,,,,,ㄧㄡˊ ㄈㄟˋ,yóufèi
郵購,邮购,,,,,,ㄧㄡˊ ㄍㄡˋ,yóuɡòu
郵匯,邮汇,,,,,,ㄧㄡˊ ㄏㄨㄟˋ,yóuhuì
邮集,邮集,,,,,,ㄧㄡˊ ㄐㄧˊ,yóují
郵寄,邮寄,,,,,,ㄧㄡˊ ㄐㄧˋ,yóujì
郵簡,邮简,,,,,,ㄧㄡˊ ㄐㄧㄢˇ,yóujiǎn
郵件,邮件,,,,,,ㄧㄡˊ ㄐㄧㄢˋ,yóujiàn
郵局,邮局,,,,,,ㄧㄡˊ ㄐㄩˊ,yóujú
郵路,邮路,,,,,,ㄧㄡˊ ㄌㄨˋ,yóulù
郵輪,邮轮,,,,,,ㄧㄡˊ ㄌㄨㄣˊ,yóulún
郵片,邮片,,▲,,,,ㄧㄡˊ ㄆㄧㄢˋ,yóupiàn
郵票,邮票,,,,,,ㄧㄡˊ ㄆㄧㄠˋ,yóupiào
邮品,邮品,,,,,,ㄧㄡˊ ㄆㄧㄣˇ,yóupǐn
郵市,邮市,,,,,,ㄧㄡˊ ㄕˋ,yóushì
邮售,邮售,,,,,,ㄧㄡˊ ㄕㄡˋ,yóushòu
郵亭,邮亭,,,,,,ㄧㄡˊ ㄊㄧㄥˊ,yóutínɡ
郵筒,邮筒,,,,,,ㄧㄡˊ ㄊㄨㄥˇ,yóutǒnɡ
郵務,邮务,,▲,,,,ㄧㄡˊ ㄨˋ,yóuwù
郵務車,邮务车,,,,,,丨ㄡˊ　ㄨˋ　ㄔㄜ,yóuwùchē
郵務士,邮务士,,▲,,,,ㄧㄡˊ ㄨˋ ㄕˋ,yóuwùshì
郵箱,邮箱,,,,,,ㄧㄡˊ ㄒㄧㄤ,yóuxiānɡ
邮展,邮展,,,,,,ㄧㄡˊ ㄓㄢˇ,yóuzhǎn
郵政,邮政,,,,,,ㄧㄡˊ ㄓㄥˋ,yóuzhèng
郵政編碼,邮政编码,,★,,,,ㄧㄡˊ ㄓㄥˋ ㄅㄧㄢ ㄇㄚˇ,yóuzhènɡ biān mǎ
郵政局,邮政局,,,,,,ㄧㄡˊ ㄓㄥˋ ㄐㄩˊ,yóuzhènɡjú
郵資,邮资,,,,,,ㄧㄡˊ ㄗ,yóuzī
猶,犹,,,,,,ㄧㄡˊ,yóu
猶存,犹存,,,,,,ㄧㄡˊ ㄔㄨㄣˊ,yóuchún
猶大,犹大,,,,,,ㄧㄡˊ ㄉㄚˋ,yóudà
猶如,犹如,,,,,,ㄧㄡˊ ㄖㄨˊ,yóurú
猶太教,犹太教,,,,,,ㄧㄡˊ ㄊㄞˋ ㄐㄧㄠˋ,yóutàijiào
猶疑,犹疑,,,,,,ㄧㄡˊ ㄧˊ,yóuyí
猶豫,犹豫,,,,,,ㄧㄡˊ ㄩˋ,yóuyù
猶豫不決,犹豫不决,,,,,,ㄧㄡˊ ㄩˋ ㄅㄨˋ ㄐㄩㄝˊ,yóuyù–bùjué
犹自,犹自,,,,,,ㄧㄡˊ ㄗˋ,yóuzì
,沋,,,,,,丨ㄡˊ,yóu
,油,,,,,,ㄧㄡˊ,yóu
,油泵,,,,,,ㄧㄡˊ ㄅㄥˋ,yóubènɡ
油餅,油饼,,,,,,ㄧㄡˊ ㄅㄧㄥˇ,yóubǐnɡ
,油布,,,,,,ㄧㄡˊ ㄅㄨˋ,yóubù
,油彩,,,,,,ㄧㄡˊ ㄘㄞˇ,yóucǎi
油菜,油菜,,,,,,ㄧㄡˊ ㄘㄞˋ,yóucài
油菜花,油菜花,,,,,,丨ㄡˊ　ㄘㄞˋ　ㄏㄨㄚ,yóucàihuā
油菜籽,油菜籽,,,,,,ㄧㄡˊ ㄘㄞˋ ㄗˇ,yóucàizǐ
油層,油层,,,,,,ㄧㄡˊ ㄘㄥˊ,yóucénɡ
油茶,油茶,,,,,,ㄧㄡˊ ㄔㄚˊ,yóuchá
油船,油船,,,,,,ㄧㄡˊ ㄔㄨㄢˊ,yóuchuán
油燈,油灯,,,,,,ㄧㄡˊ ㄉㄥ,yóudēnɡ
油電混合車,油电混合车,,▲,,,,ㄧㄡˊ ㄉㄧㄢˋ ㄏㄨㄣˋ ㄏㄜˊ ㄔㄜ,yóudiàn–hùnhéchē
油豆腐,油豆腐,,,,,,ㄧㄡˊ ㄉㄡˋ ˙ㄈㄨ,yóudòufu
油飯,油饭,,▲,,,,ㄧㄡˊ ㄈㄢˋ,yóufàn
油坊,油坊,,,,,,ㄧㄡˊ ㄈㄤˊ,yóufánɡ
油橄欖,油橄榄,,,,,,ㄧㄡˊ ㄍㄢˇ ㄌㄢˇ,yóuɡǎnlǎn
油膏,油膏,,,,,,ㄧㄡˊ ㄍㄠ,yóuɡāo
,油垢,,,,,,ㄧㄡˊ ㄍㄡˋ,yóuɡòu
,油管,,,,,,ㄧㄡˊ ㄍㄨㄢˇ,yóuɡuǎn
油罐,油罐,,,,,,ㄧㄡˊ ㄍㄨㄢˋ,yóuɡuàn
油罐车,油罐车,,,,,,ㄧㄡˊ ㄍㄨㄢˋ ㄔㄜ,yóuɡuànchē
,油光,,,,,,ㄧㄡˊ ㄍㄨㄤ,yóuɡuānɡ
油光水滑,油光水滑,,,,,,ㄧㄡˊ ㄍㄨㄤ ㄕㄨㄟˇ ㄏㄨㄚˊ,yóuɡuānɡ-shuǐhuá
油耗,油耗,,,,,,ㄧㄡˊ ㄏㄠˋ,yóuhào
油耗子,油耗子,,,,,,ㄧㄡˊ ㄏㄠˋ ˙ㄗ,yóuhàozi
油黑,油黑,,,,,,ㄧㄡˊ ㄏㄟ,yóuhēi
油乎乎,油乎乎,,,,,,ㄧㄡˊ ㄏㄨ ㄏㄨ,yóuhūhū
油壶,油壶,,,,,,ㄧㄡˊ ㄏㄨˊ,yóuhú
油葫蘆,油葫芦,,,,ㄧㄡˊ ㄏㄨˊ ㄌㄨˊ,yóuhúlú,ㄧㄡˊ ㄏㄨˊ ˙ㄌㄨ,yóuhúlu
油葫蘆,油葫芦,,,,ㄧㄡˊ ㄏㄨˊ ㄌㄨˊ,yóuhúlú,ㄧㄡˊ ˙ㄏㄨ ㄌㄨˇ,yóuhulǔ
油花,油花,,,,,,ㄧㄡˊ ㄏㄨㄚ,yóuhuā
油滑,油滑,,,,,,ㄧㄡˊ ㄏㄨㄚˊ,yóuhuá
油畫,油画,,,,,,ㄧㄡˊ ㄏㄨㄚˋ,yóuhuà
油灰,油灰,,,,,,ㄧㄡˊ ㄏㄨㄟ,yóuhuī
油鸡,油鸡,,,,,,ㄧㄡˊ ㄐㄧ,yóujī
油迹,油迹,,,,,,ㄧㄡˊ ㄐㄧˋ,yóujì
油價,油价,,,,,,ㄧㄡˊ ㄐㄧㄚˋ,yóujià
油煎火燎,油煎火燎,,,,,,ㄧㄡˊ ㄐㄧㄢ ㄏㄨㄛˇ ㄌㄧㄠˇ,yóujiān-huǒliǎo
,油井,,,,,,ㄧㄡˊ ㄐㄧㄥˇ,yóujǐnɡ
油庫,油库,,,,,,ㄧㄡˊ ㄎㄨˋ,yóukù
油礦,油矿,,,,,,ㄧㄡˊ ㄎㄨㄤˋ,yóukuànɡ
油亮,油亮,,,,,,ㄧㄡˊ ㄌㄧㄤˋ,yóuliànɡ
油料,油料,,,,,,ㄧㄡˊ ㄌㄧㄠˋ,yóuliào
油路,油路,,,,,,ㄧㄡˊ ㄌㄨˋ,yóulù
油绿,油绿,,,,,,ㄧㄡˊ ㄌㄩˋ,yóulǜ
油輪,油轮,,,,,,ㄧㄡˊ ㄌㄨㄣˊ,yóulún
油麥,油麦,,,,,,ㄧㄡˊ ㄇㄞˋ,yóumài
油毛氈,油毛毡,,,,,,丨ㄡˊ　ㄇㄠˊ　ㄓㄢ,yóumáozhān
油門,油门,,,,,,ㄧㄡˊ ㄇㄣˊ,yóumén
,油墨,,,,,,ㄧㄡˊ ㄇㄛˋ,yóumò
油母页岩,油母页岩,,,,,,ㄧㄡˊ ㄇㄨˇ ㄧㄝˋ ㄧㄢˊ,yóumǔyèyán
油泥,油泥,,,,,,ㄧㄡˊ ㄋㄧˊ,yóuní
油膩,油腻,,,,,,ㄧㄡˊ ㄋㄧˋ,yóunì
油膩膩,油腻腻,,,,,,ㄧㄡˊ ㄋㄧˋ ㄋㄧˋ,yóunìnì
,油品,,,,,,ㄧㄡˊ ㄆㄧㄣˇ,yóupǐn
,油漆,,,,,,ㄧㄡˊ ㄑㄧ,yóuqī
,油漆匠,,,,,,ㄧㄡˊ ㄑㄧ ㄐㄧㄤˋ,yóuqījiànɡ
油气,油气,,,,,,ㄧㄡˊ ㄑㄧˋ,yóuqì
油气井,油气井,,,,,,ㄧㄡˊ ㄑㄧˋ ㄐㄧㄥˇ,yóuqìjǐnɡ
油气流,油气流,,,,,,ㄧㄡˊ ㄑㄧˋ ㄌㄧㄡˊ,yóuqìliú
油气田,油气田,,,,,,ㄧㄡˊ ㄑㄧˋ ㄊㄧㄢˊ,yóuqìtián
油腔滑調,油腔滑调,,,,,,ㄧㄡˊ ㄑㄧㄤ ㄏㄨㄚˊ ㄉㄧㄠˋ,yóuqiānɡ–huádiào
油区,油区,,,,,,ㄧㄡˊ ㄑㄩ,yóuqū
油然,油然,,,,,,ㄧㄡˊ ㄖㄢˊ,yóurán
油然而生,油然而生,,,,,,ㄧㄡˊ ㄖㄢˊ ㄦˊ ㄕㄥ,yóurán’érshēnɡ
油杉,油杉,,,,,,ㄧㄡˊ ㄕㄢ,yóushān
油石,油石,,,,,,ㄧㄡˊ ㄕˊ,yóushí
油饰,油饰,,,,,,ㄧㄡˊ ㄕˋ,yóushì
,油水,,,,ㄧㄡˊ ㄕㄨㄟˇ,yóu shuǐ,ㄧㄡˊ ˙ㄕㄨㄟ,yóushui
油松,油松,,,,,,ㄧㄡˊ ㄙㄨㄥ,yóusōnɡ
油酥,油酥,,,,,,ㄧㄡˊ ㄙㄨ,yóusū
,油田,,,,,,ㄧㄡˊ ㄊㄧㄢˊ,yóutián
油條,油条,,,,,,ㄧㄡˊ ㄊㄧㄠˊ,yóutiáo
,油桐,,,,,,ㄧㄡˊ ㄊㄨㄥˊ,yóutónɡ
,油桶,,,,,,ㄧㄡˊ ㄊㄨㄥˇ,yóutǒnɡ
油頭粉面,油头粉面,,,,,,ㄧㄡˊ ㄊㄡˊ ㄈㄣˇ ㄇㄧㄢˋ,yóutóu–fěnmiàn
油头滑脑,油头滑脑,,,,,,ㄧㄡˊ ㄊㄡˊ ㄏㄨㄚˊ ㄋㄠˇ,yóutóu-huánǎo
油汪汪,油汪汪,,,,,,ㄧㄡˊ ㄨㄤ ㄨㄤ,yóuwānɡwānɡ
油汙,油污,,,,,,ㄧㄡˊ ㄨ,yóuwū
,油箱,,,,,,ㄧㄡˊ ㄒㄧㄤ,yóuxiānɡ
油星,油星,,,,,,ㄧㄡˊ ㄒㄧㄥ,yóuxīnɡ
,油性,,,,,,ㄧㄡˊ ㄒㄧㄥˋ,yóuxìnɡ
油壓,油压,,,,,,ㄧㄡˊ ㄧㄚ,yóuyā
油煙,油烟,,,,,,ㄧㄡˊ ㄧㄢ,yóuyān
油盐酱醋,油盐酱醋,,,,,,ㄧㄡˊ ㄧㄢˊ ㄐㄧㄤˋ ㄘㄨˋ,yóu-yán-jiànɡ-cù
油印,油印,,,,,,ㄧㄡˊ ㄧㄣˋ,yóuyìn
油印机,油印机,,,,,,ㄧㄡˊ ㄧㄣˋ ㄐㄧ,yóuyìnjī
油渣,油渣,,,,,,ㄧㄡˊ ㄓㄚ,yóuzhā
,油炸,,,,,,ㄧㄡˊ ㄓㄚˊ,yóuzhá
油氈,油毡,,,,,,ㄧㄡˊ ㄓㄢ,yóuzhān
油脂,油脂,,,,,,ㄧㄡˊ ㄓ,yóuzhī
油紙,油纸,,,,,,ㄧㄡˊ ㄓˇ,yóuzhǐ
油质,油质,,,,,,ㄧㄡˊ ㄓˋ,yóuzhì
油漬,油渍,,,,,,ㄧㄡˊ ㄗˋ,yóuzì
油子,油子,,,,,,ㄧㄡˊ ˙ㄗ,yóuzi
油棕,油棕,,,,,,ㄧㄡˊ ㄗㄨㄥ,yóuzōnɡ
油嘴,油嘴,,,,,,ㄧㄡˊ ㄗㄨㄟˇ,yóuzuǐ
油嘴,油嘴,,,,,,ㄧㄡˊ ㄗㄨㄟˇ,yóuzuǐ
油嘴滑舌,油嘴滑舌,,,,,,ㄧㄡˊ ㄗㄨㄟˇ ㄏㄨㄚˊ ㄕㄜˊ,yóuzuǐ–huáshé
,怞,,,,,,丨ㄡˊ,yóu
,柚,,,,ㄧㄡˋ,yòu,ㄧㄡˊ,yóu
,柚木,,,,ㄧㄡˋ ㄇㄨˋ,yòumù,ㄧㄡˊ ㄇㄨˋ,yóumù
,疣,,,,,,ㄧㄡˊ,yóu
,斿,,,,,,丨ㄡˊ,yóu
莜,莜,1.,,★,,,丨ㄡˊ,yóu
莜麥,莜麦,,,,,,ㄧㄡˊ ㄇㄞˋ,yóumài
蕕,莸,,,,,,ㄧㄡˊ,yóu
鈾,铀,,,,ㄧㄡˋ,yòu,ㄧㄡˊ,yóu
,浟,,,,,,丨ㄡˊ,yóu
浟浟,浟浟,1,,,,,丨ㄡˊ　丨ㄡˊ,yóuyóu
,蚰,,,,,,ㄧㄡˊ,yóu
蚰蜒,蚰蜒,,,,,,ㄧㄡˊ ㄧㄢˊ,yóuyán
魷,鱿,,,,,,ㄧㄡˊ,yóu
魷魚,鱿鱼,,,,,,ㄧㄡˊ ㄩˊ,yóuyú
遊,游,,,,,,ㄧㄡˊ,yóu
,游,,,,,,ㄧㄡˊ,yóu
游伴,游伴,,,,,,ㄧㄡˊ ㄅㄢˋ,yóubàn
游標,游标,,,,,,ㄧㄡˊ ㄅㄧㄠ,yóubiāo
遊步道,游步道,,★,,,,ㄧㄡˊ ㄅㄨˋ ㄉㄠˋ,yóubùdào
游車河,游车河,,★,,,,ㄧㄡˊ ㄔㄜ ㄏㄜˊ,yóuchēhé
游塵,游尘,,,,,,ㄧㄡˊ ㄔㄣˊ,yóuchén
遊船,游船,,,,,,ㄧㄡˊ ㄔㄨㄢˊ,yóuchuán
游春,游春,,,,,,ㄧㄡˊ ㄔㄨㄣ,yóuchūn
遊蕩,游荡,,,,,,ㄧㄡˊ ㄉㄤˋ,yóudànɡ
游動,游动,,,,,,ㄧㄡˊ ㄉㄨㄥˋ,yóudònɡ
遊逛,游逛,,,,,,ㄧㄡˊ ㄍㄨㄤˋ,yóuɡuànɡ
游擊,游击,,,,ㄧㄡˊ ㄐㄧˊ,yóují,ㄧㄡˊ ㄐㄧ,yóujī
游擊隊,游击队,,,,,,ㄧㄡˊ ㄐㄧ ㄉㄨㄧˋ,yóujīduì
游击战,游击战,,,,,,ㄧㄡˊ ㄐㄧ ㄓㄢˋ,yóujīzhàn
遊記,游记,,,,,,ㄧㄡˊ ㄐㄧˋ,yóujì
遊街,游街,,,,,,ㄧㄡˊ ㄐㄧㄝ,yóujiē
遊客,游客,,,,,,ㄧㄡˊ ㄎㄜˋ,yóukè
遊客信息中心,游客信息中心,,★,,ㄧㄡˊ ㄎㄜˋ ㄒㄧㄣˋ ㄒㄧˊ ㄓㄨㄥ ㄒㄧㄣ,yóukè xìnxízhōnɡxīn,ㄧㄡˊ ㄎㄜˋ ㄒㄧㄣˋ ㄒㄧ ㄓㄨㄥ ㄒㄧㄣ,yóukè xìnxīzhōnɡxīn
遊客資訊中心,游客资讯中心,,▲,,,,ㄧㄡˊ ㄎㄜˋ ㄗ ㄒㄩㄣˋ ㄓㄨㄥ ㄒㄧㄣ,yóukè zīxùnzhōnɡxīn
游褲,游裤,,,,,,ㄧㄡˊ ㄎㄨˋ,yóukù
遊覽,游览,,,,,,ㄧㄡˊ ㄌㄢˇ,yóulǎn
遊覽車,游览车,,▲,,,,ㄧㄡˊ ㄌㄢˇ ㄔㄜ,yóulǎnchē
游廊,游廊,,,,,,ㄧㄡˊ ㄌㄤˊ,yóulánɡ
遊樂,游乐,,,,,,ㄧㄡˊ ㄌㄜˋ,yóulè
遊樂場,游乐场,,,,,,ㄧㄡˊ ㄌㄜˋ ㄔㄤˇ,yóulèchǎnɡ
游乐园,游乐园,,,,,,ㄧㄡˊ ㄌㄜˋ ㄩㄢˊ,yóulèyuán
游離,游离,,,,,,ㄧㄡˊ ㄌㄧˊ,yóulí
游離票,游离票,,,,,,ㄧㄡˊ ㄌㄧˊ ㄆㄧㄠˋ,yóulípiào
遊歷,游历,,,,,,ㄧㄡˊ ㄌㄧˋ,yóulì
游猎,游猎,,,,,,ㄧㄡˊ ㄌㄧㄝˋ,yóuliè
游轮,游轮,,,,,,ㄧㄡˊ ㄌㄨㄣˊ,yóulún
遊民,游民,,,,,,ㄧㄡˊ ㄇㄧㄣˊ,yóumín
遊牧,游牧,,,,,,ㄧㄡˊ ㄇㄨˋ,yóumù
游禽,游禽,,,,,,ㄧㄡˊ ㄑㄧㄣˊ,yóuqín
遊人,游人,,,,,,ㄧㄡˊ ㄖㄣˊ,yóurén
遊刃有餘,游刃有余,,,,,,ㄧㄡˊ ㄖㄣˋ ㄧㄡˇ ㄩˊ,yóurèn–yǒuyú
遊山玩水,游山玩水,,,,,,ㄧㄡˊ ㄕㄢ ㄨㄢˊ ㄕㄨㄟˇ,yóushān–wánshuǐ
游商遊商,游商,,,,丨ㄡˊ　ㄕㄤ,yóushānɡ,丨ㄡˊ　ㄕㄤ,yóushānɡ
遊手好閒,游手好闲,,,,,,ㄧㄡˊ ㄕㄡˇ ㄏㄠˋ ㄒㄧㄢˊ,yóushǒu–hàoxián
,游水,,,,,,ㄧㄡˊ ㄕㄨㄟˇ,yóushuǐ
遊說,游说,,,,,,ㄧㄡˊ ㄕㄨㄟˋ,yóushuì
遊絲,游丝,,,,,,ㄧㄡˊ ㄙ,yóusī
遊艇,游艇,,,,,,ㄧㄡˊ ㄊㄧㄥˇ,yóutǐnɡ
遊玩,游玩,,,,,,ㄧㄡˊ ㄨㄢˊ,yóuwán
遊戲,游戏,,,,,,ㄧㄡˊ ㄒㄧˋ,yóuxì
遊戲規則,游戏规则,,,,,,ㄧㄡˊ ㄒㄧˋ ㄍㄨㄟ ㄗㄜˊ,yóuxì ɡuīzé
游戏机,游戏机,,,,,,ㄧㄡˊ ㄒㄧˋ ㄐㄧ,yóuxìjī
游戏卡,游戏卡,,,,,,ㄧㄡˊ ㄒㄧˋ ㄎㄚˇ,yóuxìkǎ
