序號,正體字,簡化字,音一,音二,音三,音四,音五,音六,統讀
493,朴,朴,pǔ,pò,pō,piáo,,,
494,樸,朴,pǔ,,,,,,
495,蹼,蹼,pǔ,,,,,,統讀
496,瀑,瀑,pù,bào,,,,,
497,曝,曝,pù,bào,,,,,
498,栖,栖,qī,xī,,,,,
499,棲,栖,qī,,,,,,
500,戚,戚,qī,,,,,,統讀
501,漆,漆,qī,,,,,,統讀
502,期,期,qī,,,,,,統讀
503,蹊,蹊,qī,,,,,,統讀
504,蠐,蛴,qí,,,,,,統讀
505,畦,畦,qí,,,,,,統讀
506,萁,萁,qí,,,,,,統讀
507,騎,骑,qí,,,,,,統讀
508,企,企,qǐ,,,,,,統讀
509,綺,绮,qǐ,,,,,,統讀
510,杞,杞,qǐ,,,,,,統讀
511,槭,槭,qì,,,,,,統讀
512,洽,洽,qià,,,,,,統讀
513,簽,签,qiān,,,,,,統讀
514,潛,潜,qián,,,,,,統讀
515,蕁,荨,qián,xún,,,,,
516,嵌,嵌,qiàn,,,,,,統讀
517,欠,欠,qian,qiàn,,,,,
518,戕,戕,qiānɡ,,,,,,統讀
519,鏹,镪,qiānɡ,qiǎnɡ,,,,,
520,強,强,qiánɡ,qiǎnɡ,jiànɡ,,,,
521,繈,襁,qiǎnɡ,,,,,,統讀
522,蹌,跄,qiànɡ,,,,,,統讀
523,悄,悄,qiāo,qiǎo,,,,,
524,橇,橇,qiāo,,,,,,統讀
525,翹,翘,qiào,qiáo,,,,,
526,怯,怯,qiè,,,,,,統讀
527,挈,挈,qiè,,,,,,統讀
528,趄,趄,qie,jū,,,,,
529,侵,侵,qīn,,,,,,統讀
530,衾,衾,qīn,,,,,,統讀
531,噙,噙,qín,,,,,,統讀
532,傾,倾,qīnɡ,,,,,,統讀
533,親,亲,qìnɡ,qīn,,,,,
534,穹,穹,qiónɡ,,,,,,統讀
535,黢,黢,qū,,,,,,統讀
536,麯,曲,qū,,,,,,
537,曲,曲,qū,qǔ,,,,,
538,渠,渠,qú,,,,,,統讀
539,瞿,瞿,qú,,,,,,統讀
540,蠼,蠼,qú,,,,,,統讀
541,苣,苣,qǔ,jù,,,,,
542,齲,龋,qǔ,,,,,,統讀
543,趣,趣,qù,,,,,,統讀
544,雀,雀,què,qiāo,,,,,
545,髯,髯,rán,,,,,,統讀
546,攘,攘,rǎnɡ,,,,,,統讀
547,橈,桡,ráo,,,,,,統讀
548,繞,绕,rào,,,,,,統讀
549,任,任,rén,rèn,,,,,
550,妊,妊,rèn,,,,,,統讀
551,扔,扔,rēnɡ,,,,,,統讀
552,容,容,rónɡ,,,,,,統讀
553,糅,糅,róu,,,,,,統讀
554,茹,茹,rú,,,,,,統讀
555,孺,孺,rú,,,,,,統讀
556,蠕,蠕,rú,,,,,,統讀
557,辱,辱,rǔ,,,,,,統讀
558,挼,挼,ruó,,,,,,統讀
559,靸,靸,sǎ,,,,,,統讀
560,噻,噻,sāi,,,,,,統讀
561,散,散,sǎn,san,sàn,,,,
562,喪,丧,sanɡ,sànɡ,,,,,
563,掃,扫,sǎo,sào,,,,,
564,埽,埽,sào,,,,,,統讀
565,色,色,sè,shǎi,,,,,
566,塞,塞,sè,sāi,,,,,
567,森,森,sēn,,,,,,統讀
568,煞,煞,shā,shà,,,,,
569,啥,啥,shá,,,,,,統讀
570,廈,厦,shà,xià,,,,,
571,杉,杉,shān,shā,,,,,
572,衫,衫,shān,,,,,,統讀
573,姍,姗,shān,,,,,,統讀
574,苫,苫,shàn,shān,,,,,
575,墒,墒,shānɡ,,,,,,統讀
576,猞,猞,shē,,,,,,統讀
577,舍,舍,shè,shě,,,,,
578,捨,舍,shě,,,,,,
579,懾,慑,shè,,,,,,統讀
580,攝,摄,shè,,,,,,統讀
581,射,射,shè,,,,,,統讀
582,誰,谁,shéi,shuí,,,,,
583,娠,娠,shēn,,,,,,統讀
584,什,什,shén,shí,,,,,
585,蜃,蜃,shèn,,,,,,統讀
586,葚,葚,shèn,rèn,,,,,
587,勝,胜,shènɡ,,,,,,統讀
588,識,识,shí,zhì,,,,,
589,似,似,shì,sì,,,,,
590,室,室,shì,,,,,,統讀
591,螫,螫,shì,zhē,,,,,
592,匙,匙,shi,chí,,,,,
593,殊,殊,shū,,,,,,統讀
594,蔬,蔬,shū,,,,,,統讀
595,疏,疏,shū,,,,,,統讀
596,叔,叔,shū,,,,,,統讀
597,淑,淑,shū,,,,,,統讀
598,菽,菽,shū,,,,,,統讀
599,熟,熟,shú,shóu,,,,,
600,署,署,shǔ,,,,,,統讀
601,曙,曙,shǔ,,,,,,統讀
602,漱,漱,shù,,,,,,統讀
603,戍,戍,shù,,,,,,統讀
604,蟀,蟀,shuài,,,,,,統讀
605,孀,孀,shuānɡ,,,,,,統讀
606,說,说,shuì,shuō,yuè,,,,
607,數,数,shuò,shù,shǔ,cù,,,
608,碩,硕,shuò,,,,,,統讀
609,蒴,蒴,shuò,,,,,,統讀
610,艘,艘,sōu,,,,,,統讀
611,嗾,嗾,sǒu,,,,,,統讀
612,速,速,sù,,,,,,統讀
613,塑,塑,sù,,,,,,統讀
614,雖,虽,suī,,,,,,統讀
615,綏,绥,suí,,,,,,統讀
616,髓,髓,suǐ,,,,,,統讀
617,遂,遂,suì,suí,,,,,
618,隧,隧,suì,,,,,,統讀
619,隼,隼,sǔn,,,,,,統讀
620,莎,莎,suō,shā,,,,,
621,縮,缩,suō,sù,,,,,
622,嗍,嗍,suō,,,,,,統讀
623,索,索,suǒ,,,,,,統讀
624,趿,趿,tā,,,,,,統讀
625,鰨,鳎,tǎ,,,,,,統讀
626,獺,獭,tǎ,,,,,,統讀
627,遝,沓,tà,ta,dá,,,,
628,苔,苔,tái,tāi,,,,,
629,探,探,tàn,,,,,,統讀
630,濤,涛,tāo,,,,,,統讀
631,悌,悌,tì,,,,,,統讀
632,佻,佻,tiāo,,,,,,統讀
633,調,调,tiáo,diào,,,,,
634,帖,帖,tiē,tiě,tiè,,,,
635,聽,听,tīnɡ,,,,,,統讀
636,庭,庭,tínɡ,,,,,,統讀
637,骰,骰,tóu,,,,,,統讀
638,凸,凸,tú,,,,,,統讀
639,突,突,tū,,,,,,統讀
640,頹,颓,tuí,,,,,,統讀
641,蛻,蜕,tuì,,,,,,統讀
642,臀,臀,tún,,,,,,統讀
643,唾,唾,tuò,,,,,,統讀
644,媧,娲,wā,,,,,,統讀
645,挖,挖,wā,,,,,,統讀
646,瓦,瓦,wà,wǎ,,,,,
647,㖞,㖞,wāi,,,,,,統讀
648,蜿,蜿,wān,,,,,,統讀
649,玩,玩,wán,,,,,,統讀
