臺灣詞,,,大陸詞,,,差異別
換腦袋,130028,132792,換腦瓜子,128340,127875,1
數位照相機,68087,8468,數字相機,20743,79727,1
數位相機,20752,68871,數碼相機,20776,81419,1
數位電視,20759,111343,數字電視,86963,120995,1
智慧財產權,21756,69071,知識產權,31176,79795,1
智能障礙兒童,122494,121015,低常兒童,120514,20045,1
月臺門,129581,124407,屏蔽門,13978,3494,1
核子反應爐,22916,111588,核反應堆,63780,8765,1
核子反應器爐心壽命,123034,123886,堆芯壽期,123035,124767,1
核糖核酸酵素,123893,128432,核酶,123963,128422,1
每秒位元數,123998,128115,比特每秒,129831,128394,1
液化瓦斯,26017,80902,液化氣,26019,80903,1
清寒生,122398,119622,特困生,90283,118948,1
看護,30844,74130,護工,95419,96043,1
矽片,91487,93108,硅片,121560,94711,1
矽橡膠,31284,71741,硅橡膠,31400,75658,1
矽膠,31283,81116,硅膠,31399,81690,1
確認鍵,120645,21866,回車,83254,94121,1
程式員,32190,81150,程序員,32196,81153,1
紅血球生成素,123889,129513,紅細胞生成素,123959,129511,1
細懸浮微粒,129555,122359,細顆粒物,129087,121932,1
網際網路,34043,63665,因特網,9123,64941,1
網際網路電話,122846,131062,網絡電話,34028,84353,1
聚斂性思考,130030,132646,輻合思維,96113,92403,1
自由下落,126261,131400,自由降落,126298,131401,1
芮氏地震規模,130097,133292,里氏,129312,133112,1
芮氏地震規模,130097,133292,里氏震級,130098,133291,1
花式滑水,121482,87014,花樣滑水,64005,86865,1
藍調,37791,85117,布魯斯,124590,124259,1
虛擬記憶體,124067,130547,虛擬內存,130017,132437,1
螢光劑,38255,87257,熒光劑,122705,121396,1
觀光局,39235,80299,旅遊局,21207,80440,1
超極致筆電,129832,128376,超極本,129812,128372,1
軟碟,41908,79051,軟盤,41912,77118,1
輔助記憶體,124047,129362,輔助存儲器,124122,129361,1
輕型機車,41978,81377,輕便摩托車,130286,133392,1
輻合思考,130053,132846,輻合思維,96113,92403,1
錄影機,44479,74986,錄像機,44475,74971,1
閘道器,130039,132789,網關,129449,132658,1
隨身碟,45616,71501,閃存盤,44828,24204,1
